kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment,,,,Filter,This is the beam identifier. Need this as part of main ID stuff in DB,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,68,0.1,0.003,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,69,0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,70,0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,71,0.25,0,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,72,0.1,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,73,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,74,0.35,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,75,0.15,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,76,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,77,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,78,0,0.003,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,79,-0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,80,-0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,81,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,82,-0.15,0.003,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,83,0,0,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,84,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,85,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,86,-0.2,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,87,-0.2,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,88,-0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,89,-0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,90,-0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,1,3729,-39.7,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,2,3729,-39.69,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,3,3729,-39.7,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,4,3729,-39.69,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,5,3729,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,6,3729,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,7,3729,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,8,3728,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,9,3730,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,10,3730,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,11,3727,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,12,3730,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,13,3729,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,14,3730,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,15,3730,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,16,3729,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
